nct_id,title,status,phase,condition,enrollment,start_date,completion_date
NCT02053909,Ticagrelor Antiplatelet Therapy to Reduce Graft Events and Thrombosis,COMPLETED,PHASE4,Saphenous Vein Graft Disease,250.0,2014-09,2021-08
NCT00884663,Candesartan Versus Propranolol for Migraine Prevention,COMPLETED,"PHASE2, PHASE3","Migraine Without Aura, Migraine With Aura, Chronic Migraine",72.0,2009-04,2012-03
NCT00779506,Study of the Efficacy and Safety of Quetiapine Fumarate Extended Release (Seroquel XR),COMPLETED,PHASE4,Schizophrenia,96.0,2008-11,2009-07
NCT07073547,"A Phase I, Open-label, Multicenter Study to Evaluate the Safety, Tolerability, Cellular Kinetics, Immunogenicity, Pharmacodynamics, and Preliminary Efficacy of AZD0120 in Participants With Multiple Myeloma (DURGA-2)",RECRUITING,PHASE1,Multiple Myeloma,40.0,2025-07-31,2028-05-26
NCT04106115,DURvalumab in Combination With S-488210/S-488211 vAccine in Non-muscle Invasive Bladder CancEr,RECRUITING,"PHASE1, PHASE2",Bladder Cancer,52.0,2022-03-25,2032-09-30
NCT02064608,Investigating the Effects of AZD2014 Therapy Given Prior to Radical Prostatectomy in Men With High Risk Prostate Cancer,COMPLETED,PHASE1,Prostate Cancer,23.0,2014-10,2018-06
NCT03682289,Ceralasertib (AZD6738) Alone and in Combination With Olaparib or Durvalumab in Patients With Solid Tumors,ACTIVE_NOT_RECRUITING,PHASE2,"Clear Cell Renal Cell Carcinoma, Locally Advanced Pancreatic Cancer, Locally Advanced Malignant Solid Neoplasm, Metastatic Malignant Solid Neoplasm, Metastatic Renal Cell Carcinoma, Metastatic Urothelial Carcinoma, Metastatic Pancreatic Cancer, Stage III Pancreatic Cancer, Stage III Renal Cell Cancer, Stage IV Pancreatic Cancer, Stage IV Renal Cell Cancer, Endometrial Cancer, Metastatic Castration-resistant Prostate Cancer",83.0,2019-01-17,2028-03-31
NCT00255268,CMAB vs IMAB in Metastatic Prostate Cancer,WITHDRAWN,PHASE4,Metastatic Prostate Cancer,15.0,2004-08,
NCT00479089,Iressa and Taxotere Study in Patients With Metastatic Urothelial Cancer,TERMINATED,PHASE2,Bladder Cancer,50.0,2004-02,2014-08
NCT06020014,Phase 2a Study to Assess the Efficacy and Safety of AZD4604 in Adult Patients With Moderate-to-Severe Asthma Uncontrolled on Medium-High Dose ICS-LABA,COMPLETED,PHASE2,Asthma,339.0,2023-11-16,2025-10-28
NCT04350593,Dapagliflozin in Respiratory Failure in Patients With COVID-19,COMPLETED,PHASE3,COVID-19,1250.0,2020-04-22,2021-06-11
NCT01625884,Observational Study to Understand Patients' and Physicians' Attitudes to Statins in TurkeY,COMPLETED,,Hypercholesterolemia,500.0,2012-10,2012-12
NCT04931563,Anifrolumab Asian PhIII Efficacy Study for Systemic Lupus Erythematosus (SLE),COMPLETED,PHASE3,Active Systemic Lupus Erythematosus,277.0,2021-09-13,2025-06-10
NCT06388616,"Study to Investigate the Effect of Hepatic Impairment on the Pharmacokinetics, Safety, and Tolerability of Balcinrenone",COMPLETED,PHASE1,Hepatic Impairment,30.0,2024-05-02,2024-09-05
NCT00859352,AZD1981 Midazolam CYP4503A Induction Study,COMPLETED,PHASE1,Healthy Male Volunteer,28.0,2009-03,2009-04
NCT00077025,Comparing Anastrozole-Placebo to the Combination Anastrozole-ZD1839 in Postmenopausal Patients With Estrogen Receptor and/or Progesterone Receptor Metastatic Breast Cancer,COMPLETED,PHASE2,Breast Cancer,174.0,2004-01,2013-05
NCT02599714,Study of AZD2014 and Palbociclib in Patients With Estrogen Receptor Positive (ER+) Metastatic Breast Cancer,COMPLETED,PHASE1,Advanced and Metastatic Breast Cancer,54.0,2015-12-07,2023-11-23
NCT07215585,AZD0486 1L Therapy for Elderly or Unfit Participants With LBCL,RECRUITING,PHASE3,Large B-cell Lymphoma,420.0,2025-11-11,2033-07-28
NCT03082976,Prevalence of BRCA1 and BRCA2 Mutations in Ovarian Cancer Patients in the Gulf Region,COMPLETED,,Ovarian Cancer,108.0,2017-07-16,2019-07-24
NCT06750276,"A Study to Evaluate the Safety, Tolerability, PK, and PD Effects of AZD2389 in Participants With Liver Fibrosis and Compensated Cirrhosis.",COMPLETED,PHASE2,"Liver Fibrosis, Hepatic Cirrhosis",40.0,2024-12-06,2025-07-28
NCT04563871,Efficacy and Safety of 80mg Osimertinib in Patients With Non-small Cell Lung Cancer(NSCLC),COMPLETED,PHASE2,Non-small Cell Lung Cancer (NSCLC),73.0,2020-11-17,2023-10-25
NCT05826366,Imfinzi/Imjudo NSCLC Japan PMS_Japan Post-Marketing Surveillance (PMS) Study - CEI/SCEI,COMPLETED,,"Carcinoma, Non-Small-Cell Lung",296.0,2023-06-02,2025-04-30
NCT07646600,Observational Study of Natural History of BAG3 Gene Mutation-Associated Dilated Cardiomyopathy in Chinese Adults,NOT_YET_RECRUITING,,Dilated Cardiomyopathy,10.0,2026-06-29,2029-06-29
NCT00949975,A Dose Range Finding Study to Evaluate the Efficacy and Safety of AZD9668 Administered Orally at Three Dose Levels to Patients With Chronic Obstructive Pulmonary Disease (COPD) on Treatment With Tiotropium,COMPLETED,PHASE2,Chronic Obstructive Pulmonary Disease,838.0,2009-07,2010-08
NCT02126514,"A Phase I, Open-Label, Single-Center Study to Assess the Absorption, Metabolism, and Excretion of [14C]-AZD3293",COMPLETED,PHASE1,"Healthy Volunteers, Mass Balance Study",12.0,2014-05,2014-05
NCT06980428,"A Study to Investigate Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of AZD4954 in Healthy Adult Participants With or Without Elevated Lipoprotein (a) (Lp[a]) Levels, and Participants With Dyslipidemia",RECRUITING,PHASE1,"Healthy Participants, Dyslipidemia",136.0,2025-05-27,2027-04-09
NCT00919607,Evaluate the Pharmacokinetics of Quetiapine Fumarate in Chinese Schizophrenic Patients,COMPLETED,PHASE1,Schizophrenia,31.0,2009-06,2010-03
NCT03534492,Durvalumab Plus Olaparib Administered Prior to Surgery of Resectable Urothelial Bladder Cancer (NEODURVARIB),COMPLETED,PHASE2,Bladder Cancer,29.0,2018-11-16,2020-03-16
NCT07513571,A Study to Assess the Effect of AZD0780 on the Pharmacokinetics of AZD4954 and Vice Versa in Healthy Adults,COMPLETED,PHASE1,Healthy Participants,31.0,2026-04-10,2026-07-08
NCT05667298,Organ-Preserving Endoscopic Resection & Adjuvant RADIO-immuno-chemotherapy for Esophageal Cancer,ACTIVE_NOT_RECRUITING,PHASE1,Esophageal Cancer,11.0,2023-03-01,2029-07-01
NCT03303521,A Study to Test Whether ZS (Sodium Zirconium Cyclosilicate) Can Reduce the Incidence of Increased Blood Potassium Levels Among Dialized Patients.,COMPLETED,PHASE3,Hyperkalemia,196.0,2017-12-14,2018-11-07
NCT01851265,D081AC00001 Food Interaction With Olaparib Capsule in Patients With Solid Tumours,COMPLETED,PHASE1,Solid Tumours,32.0,2013-07-04,2017-06-06
